Place	District	State/Union
Satwas	Dewas	Madhya Pradesh
Sausar	Chhindwara	Madhya Pradesh
Sawer	Indore	Madhya Pradesh
Sehore	Sehore	Madhya Pradesh
Semaria	Rewa	Madhya Pradesh
Sendhwa	Barwani	Madhya Pradesh
Seondha	Datia	Madhya Pradesh
Seoni	Seoni	Madhya Pradesh
Seoni Malwa	Hoshangabad	Madhya Pradesh
Sethia	Chhindwara	Madhya Pradesh
Shahdol	Shahdol	Madhya Pradesh
Shahgarh	Sagar	Madhya Pradesh
Shahpur	Sagar	Madhya Pradesh
Shahpur	East Nimar	Madhya Pradesh
Shahpur	Betul	Madhya Pradesh
Shahpura	Jabalpur	Madhya Pradesh
Shahpura	Dindori	Madhya Pradesh
Shajapur	Shajapur	Madhya Pradesh
Shamgarh	Mandsaur	Madhya Pradesh
Sheopur	Sheopur	Madhya Pradesh
Shivpuri	Shivpuri	Madhya Pradesh
Shujalpur	Shajapur	Madhya Pradesh
Sidhi	Sidhi	Madhya Pradesh
Sihora	Jabalpur	Madhya Pradesh
Singoli	Neemuch	Madhya Pradesh
Singrauli	Sidhi	Madhya Pradesh
Sinhasa	Indore	Madhya Pradesh
Sirgora	Chhindwara	Madhya Pradesh
Sirmaur	Rewa	Madhya Pradesh
Sironj	Vidisha	Madhya Pradesh
Sitamau	Mandsaur	Madhya Pradesh
Sohagpur	Hoshangabad	Madhya Pradesh
Sonkatch	Dewas	Madhya Pradesh
Soyatkalan	Shajapur	Madhya Pradesh
Suhagi	Jabalpur	Madhya Pradesh
Sultanpur	Raisen	Madhya Pradesh
Susner	Shajapur	Madhya Pradesh
Suthaliya	Rajgarh	Madhya Pradesh
Tal	Ratlam	Madhya Pradesh
Talen	Rajgarh	Madhya Pradesh
Tarana	Ujjain	Madhya Pradesh
Taricharkalan	Tikamgarh	Madhya Pradesh
Tekanpur	Gwalior	Madhya Pradesh
Tendu Kheda	Damoh	Madhya Pradesh
Teonthar	Rewa	Madhya Pradesh
Thandla	Jhabua	Madhya Pradesh
Tikamgarh	Tikamgarh	Madhya Pradesh
Timarni	Harda	Madhya Pradesh
Tirodi	Balaghat	Madhya Pradesh
Udaipura	Raisen	Madhya Pradesh
Ujjain	Ujjain	Madhya Pradesh
Ukwa	Balaghat	Madhya Pradesh
Umaria	Umaria	Madhya Pradesh
Unchehara	Satna	Madhya Pradesh
Unhel	Ujjain	Madhya Pradesh
Vehicle Fac. Jabalpur	Jabalpur	Madhya Pradesh
Vidisha	Vidisha	Madhya Pradesh
Vijayraghavgarh	Katni	Madhya Pradesh
Wara Seoni	Balaghat	Madhya Pradesh
Achalpur	Amravati	Maharashtra
Ahmadnagar	Ahmadnagar	Maharashtra
Ahmadnagar	Ahmadnagar	Maharashtra
Ahmadpur	Latur	Maharashtra
Ajra	Kolhapur	Maharashtra
Akkalkot	Solapur	Maharashtra
Akola	Akola	Maharashtra
Akot	Akola	Maharashtra
Alandi	Pune	Maharashtra
Alibag	Raigarh	Maharashtra
Amalner	Jalgaon	Maharashtra
Ambad	Jalna	Maharashtra
Ambarnath	Thane	Maharashtra
Ambejogai	Bid	Maharashtra
Ambivali Tarf Wankhal	Raigarh	Maharashtra
Amravati	Amravati	Maharashtra
Anjangaon	Amravati	Maharashtra
Arvi	Wardha	Maharashtra
Ashta	Sangli	Maharashtra
Aurangabad	Aurangabad	Maharashtra
Aurangabad	Aurangabad	Maharashtra
Ausa	Latur	Maharashtra
Babhulgaon	Hingoli	Maharashtra
Badlapur	Thane	Maharashtra
Balapur	Akola	Maharashtra
Ballarpur	Chandrapur	Maharashtra
Baramati	Pune	Maharashtra
Barshi	Solapur	Maharashtra
Basmath	Hingoli	Maharashtra
Bhadravati	Chandrapur	Maharashtra
Bhagur	Nashik	Maharashtra
Bhandara	Bhandara	Maharashtra
Bhingar	Ahmadnagar	Maharashtra
Bhiwandi	Thane	Maharashtra
Bhokardan	Jalna	Maharashtra
Bhor	Pune	Maharashtra
Bhum	Osmanabad	Maharashtra
Bhusawal	Jalgaon	Maharashtra
Bid	Bid	Maharashtra
Biloli	Nanded	Maharashtra
Birwadi	Raigarh	Maharashtra
Boisar	Thane	Maharashtra
Brahmapuri	Chandrapur	Maharashtra
Budhgaon	Sangli	Maharashtra
Buldana	Buldana	Maharashtra
Chakan	Pune	Maharashtra
Chalisgaon	Jalgaon	Maharashtra
Chandrapur	Chandrapur	Maharashtra
Chandur	Amravati	Maharashtra
Chandur	Chandrapur	Maharashtra
Chandurbazar	Amravati	Maharashtra
Chicholi	Nagpur	Maharashtra
Chikhaldara	Amravati	Maharashtra
Chikhli	Buldana	Maharashtra
Chinchani	Thane	Maharashtra
Chiplun	Ratnagiri	Maharashtra
Chopda	Jalgaon	Maharashtra
Dahanu	Thane	Maharashtra
Dapoli Camp	Ratnagiri	Maharashtra
Darwha	Yavatmal	Maharashtra
Daryapur Banosa	Amravati	Maharashtra
Dattapur Dhamangaon	Amravati	Maharashtra
Daund	Pune	Maharashtra
Davlameti	Nagpur	Maharashtra
Deglur	Nanded	Maharashtra
Dehu	Pune	Maharashtra
Dehu Road	Pune	Maharashtra
Deolali	Nashik	Maharashtra
Deolali Pravara	Ahmadnagar	Maharashtra
Deoli	Wardha	Maharashtra
Desaiganj	Gadchiroli	Maharashtra
Deulgaon Raja	Buldana	Maharashtra
Dewhadi	Bhandara	Maharashtra
Dharangaon	Jalgaon	Maharashtra
Dharmabad	Nanded	Maharashtra
Dharur	Bid	Maharashtra
Dhatau	Raigarh	Maharashtra
Dhule	Dhule	Maharashtra
Digdoh	Nagpur	Maharashtra
Digras	Yavatmal	Maharashtra
Dondaicha-Warwade	Dhule	Maharashtra
Dudhani	Solapur	Maharashtra
Durgapur	Chandrapur	Maharashtra
Dyane	Nashik	Maharashtra
Eklahare	Nashik	Maharashtra
Erandol	Jalgaon	Maharashtra
Faizpur	Jalgaon	Maharashtra
Gadchiroli	Gadchiroli	Maharashtra
Gadhinglaj	Kolhapur	Maharashtra
Gandhinagar	Kolhapur	Maharashtra
Ganeshpur	Bhandara	Maharashtra
Gangakhed	Parbhani	Maharashtra
Gangapur	Aurangabad	Maharashtra
Georai	Bid	Maharashtra
Ghatanji	Yavatmal	Maharashtra
Ghoti Budruk	Nashik	Maharashtra
Ghugus	Chandrapur	Maharashtra
Ghulewadi	Ahmadnagar	Maharashtra
Godoli	Satara	Maharashtra
Gokhivare	Thane	Maharashtra
Gondiya	Gondiya	Maharashtra
Goregaon	Raigarh	Maharashtra
Greater Mumbai	Mumbai (Suburban) and Mumbai	Maharashtra
Guhagar	Ratnagiri	Maharashtra
Hadgaon	Nanded	Maharashtra
Hinganghat	Wardha	Maharashtra
Hingoli	Hingoli	Maharashtra
Hupari	Kolhapur	Maharashtra
Ichalkaranji	Kolhapur	Maharashtra
Igatpuri	Nashik	Maharashtra
Indapur	Pune	Maharashtra
Jalgaon	Jalgaon	Maharashtra
Jalgaon	Ratnagiri	Maharashtra
Jalgaon (Jamod)	Buldana	Maharashtra
Jalna	Jalna	Maharashtra
Jamkhed	Ahmadnagar	Maharashtra
Jawhar	Thane	Maharashtra
Jaysingpur	Kolhapur	Maharashtra
Jejuri	Pune	Maharashtra
Jintur	Parbhani	Maharashtra
Junnar	Pune	Maharashtra
Kabnur	Kolhapur	Maharashtra
Kagal	Kolhapur	Maharashtra
Kalamb	Osmanabad	Maharashtra
Kalambe Turf Thane	Kolhapur	Maharashtra
Kalameshwar	Nagpur	Maharashtra
Kalamnuri	Hingoli	Maharashtra
Kalundre	Raigarh	Maharashtra
Kalyan-Dombivali	Thane	Maharashtra
Kamptee	Nagpur	Maharashtra
Kamptee	Nagpur	Maharashtra
Kandari	Jalgaon	Maharashtra
Kandhar	Nanded	Maharashtra
Kandri	Nagpur	Maharashtra
Kandri	Nagpur	Maharashtra
Kanhan (Pipri)	Nagpur	Maharashtra
Kankavli	Sindhudurg	Maharashtra
Kannad	Aurangabad	Maharashtra
Karad	Satara	Maharashtra
Karanja	Washim	Maharashtra
Karanje Turf Satara	Satara	Maharashtra
Karivali	Thane	Maharashtra
Karjat	Raigarh	Maharashtra
Karmala	Solapur	Maharashtra
Kasara Budruk	Thane	Maharashtra
Katai	Thane	Maharashtra
Katkar	Thane	Maharashtra
Katol	Nagpur	Maharashtra
Kegaon	Raigarh	Maharashtra
Khadkale	Pune	Maharashtra
Khamgaon	Buldana	Maharashtra
Khapa	Nagpur	Maharashtra
Khed	Satara	Maharashtra
Khed	Ratnagiri	Maharashtra
Kherdi	Ratnagiri	Maharashtra
Khoni	Thane	Maharashtra
Khopoli	Raigarh	Maharashtra
Khuldabad	Aurangabad	Maharashtra
Kinwat	Nanded	Maharashtra
Kirkee	Pune	Maharashtra
Kodoli	Satara	Maharashtra
Kolhapur	Kolhapur	Maharashtra
Kon	Thane	Maharashtra
Kondumal	Chandrapur	Maharashtra
Kopargaon	Ahmadnagar	Maharashtra
Kopharad	Thane	Maharashtra
Korochi	Kolhapur	Maharashtra
Kudal	Sindhudurg	Maharashtra
Kundalwadi	Nanded	Maharashtra
Kurduvadi	Solapur	Maharashtra
Kurundvad	Kolhapur	Maharashtra
Kusgaon Budruk	Pune	Maharashtra
Lanja	Ratnagiri	Maharashtra
Lasalgaon	Nashik	Maharashtra
Latur	Latur	Maharashtra
Loha	Nanded	Maharashtra
Lonar	Buldana	Maharashtra
Lonavala	Pune	Maharashtra
Madhavnagar	Sangli	Maharashtra
Mahabaleshwar	Satara	Maharashtra
Mahad	Raigarh	Maharashtra
Mahadula	Nagpur	Maharashtra
Maindargi	Solapur	Maharashtra
Malegaon	Nashik	Maharashtra
Malkapur	Buldana	Maharashtra
Malkapur	Akola	Maharashtra
Malkapur	Kolhapur	Maharashtra
Malwan	Sindhudurg	Maharashtra
Manadur	Sangli	Maharashtra
Manchar	Pune	Maharashtra
Mangalvedhe	Solapur	Maharashtra
Mangrulpir	Washim	Maharashtra
Manjlegaon	Bid	Maharashtra
Manmad	Nashik	Maharashtra
Manor	Thane	Maharashtra
Mansar	Nagpur	Maharashtra
Manwath	Parbhani	Maharashtra
Matheran	Raigarh	Maharashtra
Mehkar	Buldana	Maharashtra
Mhasla	Raigarh	Maharashtra
Mhaswad	Satara	Maharashtra
Mira-Bhayandar	Thane	Maharashtra
Mohpa	Nagpur	Maharashtra
Mohpada Alias Wasambe	Raigarh	Maharashtra
Morshi	Amravati	Maharashtra
Mowad	Nagpur	Maharashtra
Mudkhed	Nanded	Maharashtra
Mukhed	Nanded	Maharashtra
Mul	Chandrapur	Maharashtra
Murbad	Thane	Maharashtra
Murgud	Kolhapur	Maharashtra
Murtijapur	Akola	Maharashtra
Murud	Raigarh	Maharashtra
Murum	Osmanabad	Maharashtra
Nachane	Ratnagiri	Maharashtra
Nagapur	Ahmadnagar	Maharashtra
Nagardeole	Ahmadnagar	Maharashtra
Nagothana	Raigarh	Maharashtra
Nagpur	Nagpur	Maharashtra
Nakoda	Chandrapur	Maharashtra
Nala Sopara	Thane	Maharashtra
Naldurg	Osmanabad	Maharashtra
Nanded-Waghala	Nanded	Maharashtra
Nandgaon	Nashik	Maharashtra
Nandura	Buldana	Maharashtra
Nandurbar	Nandurbar	Maharashtra
Narkhed	Nagpur	Maharashtra
Nashik	Nashik	Maharashtra
Navghar-Manikpur	Thane	Maharashtra
Navi Mumbai	Thane	Maharashtra
Mumbai	Raigarh	Maharashtra
Nawapur	Nandurbar	Maharashtra
Neral	Raigarh	Maharashtra
Nilanga	Latur	Maharashtra
Nildoh	Nagpur	Maharashtra
Nimbhore Budruk	Jalgaon	Maharashtra
Osmanabad	Osmanabad	Maharashtra
Ozar	Nashik	Maharashtra
Pachgaon	Kolhapur	Maharashtra
Pachora	Jalgaon	Maharashtra
Padagha	Thane	Maharashtra
Paithan	Aurangabad	Maharashtra
Palghar	Thane	Maharashtra
Pali	Raigarh	Maharashtra
Panchgani	Satara	Maharashtra
Pandharkaoda	Yavatmal	Maharashtra
Pandharpur	Aurangabad	Maharashtra
Pandharpur	Solapur	Maharashtra
Panhala	Kolhapur	Maharashtra
Panvel	Raigarh	Maharashtra
Paranda	Osmanabad	Maharashtra
Parbhani	Parbhani	Maharashtra
Parli	Bid	Maharashtra
Parola	Jalgaon	Maharashtra
Partur	Jalna	Maharashtra
Pasthal	Thane	Maharashtra
Patan	Satara	Maharashtra
Pathardi	Ahmadnagar	Maharashtra
Pathri	Parbhani	Maharashtra
Patur	Akola	Maharashtra
Pauni	Bhandara	Maharashtra
Pen	Raigarh	Maharashtra
Peth Umri	Nanded	Maharashtra
Phaltan	Satara	Maharashtra
Pimpri Chinchwad	Pune	Maharashtra
Poladpur	Raigarh	Maharashtra
Pulgaon	Wardha	Maharashtra
Pune	Pune	Maharashtra
Pune	Pune	Maharashtra
Purna	Parbhani	Maharashtra
Purushottamnagar	Nandurbar	Maharashtra
Pusad	Yavatmal	Maharashtra
Rahimatpur	Satara	Maharashtra
Rahta Pimplas	Ahmadnagar	Maharashtra
Rahuri	Ahmadnagar	Maharashtra
Rajapur	Ratnagiri	Maharashtra
Rajgurunagar (Khed)	Pune	Maharashtra
Rajur	Yavatmal	Maharashtra
Rajura	Chandrapur	Maharashtra
Ramtek	Nagpur	Maharashtra
Ratnagiri	Ratnagiri	Maharashtra
Raver	Jalgaon	Maharashtra
Risod	Washim	Maharashtra
Roha Ashtami	Raigarh	Maharashtra
Sailu	Parbhani	Maharashtra
Sandor	Thane	Maharashtra
Sangamner	Ahmadnagar	Maharashtra
Sangli-Miraj & Kupwad	Sangli	Maharashtra
Sangole	Solapur	Maharashtra
Sasti	Chandrapur	Maharashtra
Sasvad	Pune	Maharashtra
Satana	Nashik	Maharashtra
Satara	Satara	Maharashtra
Savda	Jalgaon	Maharashtra
Savner	Nagpur	Maharashtra
Sawantwadi	Sindhudurg	Maharashtra
Sawari Jawharnagar	Bhandara	Maharashtra
Shahade	Nandurbar	Maharashtra
Shahapur	Thane	Maharashtra
Shegaon	Buldana	Maharashtra
Shelar	Thane	Maharashtra
Shendurjana	Amravati	Maharashtra
Shirdi	Ahmadnagar	Maharashtra
Shirpur-Warwade	Dhule	Maharashtra
Shirur	Pune	Maharashtra
Shirwal	Satara	Maharashtra
Shivajinagar	Chandrapur	Maharashtra
Shivatkar (Nira)	Pune	Maharashtra
Shrigonda	Ahmadnagar	Maharashtra
Shrirampur	Ahmadnagar	Maharashtra
Shrirampur(Rural)	Ahmadnagar	Maharashtra
Shrivardhan	Raigarh	Maharashtra
Sillewada	Nagpur	Maharashtra
Sillod	Aurangabad	Maharashtra
Sindi	Wardha	Maharashtra
Sindi Turf Hindnagar	Wardha	Maharashtra
Sindkhed Raja	Buldana	Maharashtra
Singnapur	Ahmadnagar	Maharashtra
Sinnar	Nashik	Maharashtra
Solapur	Solapur	Maharashtra
Sonegaon (Nipani)	Nagpur	Maharashtra
Sonpeth	Parbhani	Maharashtra
Soyagaon	Nashik	Maharashtra
Surgana	Nashik	Maharashtra
Talegaon Dabhade	Pune	Maharashtra
Talode	Nandurbar	Maharashtra
Taloje Panchnad	Raigarh	Maharashtra
Tarapur	Thane	Maharashtra
Tasgaon	Sangli	Maharashtra
Tathavade	Pune	Maharashtra
Tekadi	Nagpur	Maharashtra
Telhara	Akola	Maharashtra
Thane	Thane	Maharashtra
Tirora	Gondiya	Maharashtra
Totaladoh	Nagpur	Maharashtra
Trimbak	Nashik	Maharashtra
Tuljapur	Osmanabad	Maharashtra
Tumsar	Bhandara	Maharashtra
Uchgaon	Kolhapur	Maharashtra
Udgir	Latur	Maharashtra
Ulhasnagar	Thane	Maharashtra
Umarga	Osmanabad	Maharashtra
Umarkhed	Yavatmal	Maharashtra
Umarsara	Yavatmal	Maharashtra
Umbar Pada Nandade	Thane	Maharashtra
Umred	Nagpur	Maharashtra
Umri Pragane Balapur	Akola	Maharashtra
Uran	Raigarh	Maharashtra
Uran Islampur	Sangli	Maharashtra
Utekhol	Raigarh	Maharashtra
Vada	Thane	Maharashtra
Vadgaon	Pune	Maharashtra
Vadgaon Kasba	Kolhapur	Maharashtra
Vaijapur	Aurangabad	Maharashtra
Vanvadi (Sadashivgad)	Satara	Maharashtra
Vasai	Thane	Maharashtra
Vasantnagar	Yavatmal	Maharashtra
Vashind	Thane	Maharashtra
Vengurla	Sindhudurg	Maharashtra
Virar	Thane	Maharashtra
Vita	Sangli	Maharashtra
Wadgaon Road	Yavatmal	Maharashtra
Wadi	Nagpur	Maharashtra
Waghapur	Yavatmal	Maharashtra
Wai	Satara	Maharashtra
Wajegaon	Nanded	Maharashtra
Walani	Nagpur	Maharashtra
Waliv	Thane	Maharashtra
Wanadongri	Nagpur	Maharashtra
Wani	Yavatmal	Maharashtra
Wardha	Wardha	Maharashtra
Warora	Chandrapur	Maharashtra
Warud	Amravati	Maharashtra
Washim	Washim	Maharashtra
Yavatmal	Yavatmal	Maharashtra
Yawal	Jalgaon	Maharashtra
Yerkheda	Nagpur	Maharashtra
Yevla	Nashik	Maharashtra
Andro	Imphal East	Manipur
Bishnupur	Bishnupur	Manipur
Heriok	Thoubal	Manipur
Imphal	Imphal West & Imphal East	Manipur
Jiribam	Imphal East	Manipur
Kakching	Thoubal	Manipur
Kakching Khunou	Thoubal	Manipur
Khongman	Imphal East	Manipur
Kumbi	Bishnupur	Manipur
Kwakta	Bishnupur	Manipur
Lamai	Imphal East	Manipur
Lamjaotongba	Imphal West	Manipur
Lamshang	Imphal West	Manipur
Lilong (Imphal West)	Imphal West	Manipur
Lilong (Thoubal)	Thoubal & Imphal West	Manipur
Mayang Imphal	Imphal West	Manipur
Moirang	Bishnupur	Manipur
Moreh	Chandel	Manipur
Nambol	Bishnupur & Imphal West	Manipur
Naoriya Pakhanglakpa	Imphal West	Manipur
Ningthoukhong	Bishnupur	Manipur
Oinam	Bishnupur	Manipur
Porompat	Imphal East	Manipur
Samurou	Thoubal & Imphal West	Manipur
Sekmai Bazar	Imphal West	Manipur
Sikhong Sekmai	Thoubal	Manipur
Sugnu	Thoubal	Manipur
Thongkhong Laxmi Bazar	Imphal West	Manipur
Thoubal	Thoubal	Manipur
Torban (Khetri Leikai)	Imphal East	Manipur
Wangjing	Thoubal	Manipur
Wangoi	Imphal West	Manipur
Yairipok	Thoubal	Manipur
Baghmara	South Garo Hills	Meghalaya
Cherapunjee	East Khasi Hills	Meghalaya
Jawai	Jaintia Hills	Meghalaya
Madanrting	East Khasi Hills	Meghalaya
Mairang	West Khasi Hills	Meghalaya
Mawlai	East Khasi Hills	Meghalaya
Nongmynsong	East Khasi Hills	Meghalaya
Nongpoh	Ri Bhoi	Meghalaya
Nongstoin	West Khasi Hills	Meghalaya
Nongthymmai	East Khasi Hills	Meghalaya
Pynthorumkhrah	East Khasi Hills	Meghalaya
Resubelpara	East Garo Hills	Meghalaya
Shillong	East Khasi Hills	Meghalaya
Shillong Cantt.	East Khasi Hills	Meghalaya
Tura	West Garo Hills	Meghalaya
Williamnagar	East Garo Hills	Meghalaya
Aizawl	Aizawl	Mizoram
Bairabi	Kolasib	Mizoram
Biate	Serchhip	Mizoram
Champhai	Champhai	Mizoram
Darlawn	Aizawl	Mizoram
Hnahthial	Lunglei	Mizoram
Khawhai	Champhai	Mizoram
Khawzawl	Champhai	Mizoram
Kolasib	Kolasib	Mizoram
Lengpui	Mamit	Mizoram
Lunglei	Lunglei	Mizoram
Mamit	Mamit	Mizoram
N. Vanlaiphai	Serchhip	Mizoram
N.Kawnpui	Kolasib	Mizoram
Saiha	Saiha	Mizoram
Sairang	Aizawl	Mizoram
Saitual	Aizawl	Mizoram
Serchhip	Serchhip	Mizoram
Thenzawl	Serchhip	Mizoram
Tlabung	Lunglei	Mizoram
Vairengte	Kolasib	Mizoram
Zawlnuam	Mamit	Mizoram
Chumukedima	Dimapur	Nagaland
Dimapur	Dimapur	Nagaland
Kohima	Kohima	Nagaland
Mokokchung	Mokokchung	Nagaland
Mon	Mon	Nagaland
Phek	Phek	Nagaland
Tuensang	Tuensang	Nagaland
Wokha	Wokha	Nagaland
Zunheboto	Zunheboto	Nagaland
Anandapur	Kendujhar	Orissa
Anugul	Anugul	Orissa
Asika	Ganjam	Orissa
Athagad	Cuttack	Orissa
Athmallik	Anugul	Orissa
Balagoda (Bolani)	Kendujhar	Orissa
Balangir	Balangir	Orissa
Baleshwar	Baleshwar	Orissa
Balimela	Malkangiri	Orissa
Balugaon	Khordha	Orissa
Banapur	Khordha	Orissa
Bangura	Kendujhar	Orissa
Banki	Cuttack	Orissa
Barapali	Bargarh	Orissa
Barbil	Kendujhar	Orissa
Bargarh	Bargarh	Orissa
Baripada	Mayurbhanj	Orissa
Basudebpur	Bhadrak	Orissa
Baudhgarh	Baudh	Orissa
Belagachhia	Cuttack	Orissa
Bellaguntha	Ganjam	Orissa
Belpahar	Jharsuguda	Orissa
Bhadrak	Bhadrak	Orissa
Bhanjanagar	Ganjam	Orissa
Bhawanipatna	Kalahandi	Orissa
Bhuban	Dhenkanal	Orissa
Bhubaneswar	Khordha	Orissa
Binika	Sonapur	Orissa
Biramitrapur	Sundargarh	Orissa
Bishama Katek	Rayagada	Orissa
Brahmapur	Ganjam	Orissa
Brajarajnagar	Jharsuguda	Orissa
Buguda	Ganjam	Orissa
Burla	Sambalpur	Orissa
Byasanagar	Jajapur	Orissa
Champua	Kendujhar	Orissa
Chandapur	Nayagarh	Orissa
Chandili	Rayagada	Orissa
Charibatia	Cuttack	Orissa
Chhatrapur	Ganjam	Orissa
Chikiti	Ganjam	Orissa
Choudwar	Cuttack	Orissa
Cuttack	Cuttack	Orissa
Dadhapatna	Cuttack	Orissa
Daitari	Kendujhar	Orissa
Damanjodi	Koraput	Orissa
Debagarh	Debagarh	Orissa
Deracolliery Township	Anugul	Orissa
Dhamanagar	Bhadrak	Orissa
Dhenkanal	Dhenkanal	Orissa
Digapahandi	Ganjam	Orissa
Dungamal	Khordha	Orissa
Fertilzer Corporation of IndiaTownship	Anugul	Orissa
G. Udayagiri	Kandhamal	Orissa
Ganjam	Ganjam	Orissa
Ghantapada	Anugul	Orissa
Gopalpur	Ganjam	Orissa
Gudari	Rayagada	Orissa
Gunupur	Rayagada	Orissa
Hatibandha	Sundargarh	Orissa
Hinjilicut	Ganjam	Orissa
Hirakud	Sambalpur	Orissa
Jagatsinghapur	Jagatsinghapur	Orissa
Jajapur	Jajapur	Orissa
Jalda	Sundargarh	Orissa
Jaleswar	Baleshwar	Orissa
Jatani	Khordha	Orissa
Jeypur	Koraput	Orissa
Jharsuguda	Jharsuguda	Orissa
Jhumpura	Kendujhar	Orissa
Joda	Kendujhar	Orissa
Junagarh	Kalahandi	Orissa
Kamakshyanagar	Dhenkanal	Orissa
Kantabanji	Balangir	Orissa
Kantilo	Nayagarh	Orissa
Karanjia	Mayurbhanj	Orissa
Kashinagara	Gajapati	Orissa
Kavisuryanagar	Ganjam	Orissa
Kendrapara	Kendrapara	Orissa
Kendujhar	Kendujhar	Orissa
Kesinga	Kalahandi	Orissa
Khaliapali	Bargarh	Orissa
Khalikote	Ganjam	Orissa
Khandapada	Nayagarh	Orissa
Khariar	Nuapada	Orissa
Khariar Road	Nuapada	Orissa
Khatiguda	Nabarangapur	Orissa
Khordha	Khordha	Orissa
Kochinda	Sambalpur	Orissa
Kodala	Ganjam	Orissa
Konark	Puri	Orissa
Koraput	Koraput	Orissa
Kotpad	Koraput	Orissa
Lattikata	Sundargarh	Orissa
Makundapur	Ganjam	Orissa
Malkangiri	Malkangiri	Orissa
Mukhiguda	Kalahandi	Orissa
Nabarangapur	Nabarangapur	Orissa
NALCO	Anugul	Orissa
Nayagarh	Nayagarh	Orissa
Nilagiri	Baleshwar	Orissa
Nimapada	Puri	Orissa
Nuapatna	Cuttack	Orissa
OCL Industrialship	Sundargarh	Orissa
Padmapur	Bargarh	Orissa
Panposh	Sundargarh	Orissa
Paradip	Jagatsinghapur	Orissa
Parlakhemundi	Gajapati	Orissa
Patnagarh	Balangir	Orissa
Pattamundai	Kendrapara	Orissa
Phulabani	Kandhamal	Orissa
Pipili	Puri	Orissa
Polasara	Ganjam	Orissa
Pratapsasan	Khordha	Orissa
Puri	Puri	Orissa
Purusottampur	Ganjam	Orissa
Rairangpur	Mayurbhanj	Orissa
Rajagangapur	Sundargarh	Orissa
Rambha	Ganjam	Orissa
Raurkela	Sundargarh	Orissa
Raurkela Industrialship	Sundargarh	Orissa
Rayagada	Rayagada	Orissa
Redhakhol	Sambalpur	Orissa
Remuna	Baleshwar	Orissa
Rengali Dam Projectship	Anugul	Orissa
Sambalpur	Sambalpur	Orissa
Sonapur	Sonapur	Orissa
Soro	Baleshwar	Orissa
Sunabeda	Koraput	Orissa
Sundargarh	Sundargarh	Orissa
Surada	Ganjam	Orissa
Talcher	Anugul	Orissa
Talcher Thermal Power Station Township	Anugul	Orissa
Tarbha	Sonapur	Orissa
Tensa	Sundargarh	Orissa
Titlagarh	Balangir	Orissa
Udala	Mayurbhanj	Orissa
Umarkote	Nabarangapur	Orissa
Karaikal	Karaikal	Pondicherry *
Kurumbapet	Pondicherry	Pondicherry *
Mahe	Mahe	Pondicherry *
Ozhukarai	Pondicherry	Pondicherry *
Pondicherry	Pondicherry	Pondicherry *
Yanam	Yanam	Pondicherry *
Abohar	Firozpur	Punjab
Adampur	Jalandhar	Punjab
Ahmedgarh	Sangrur	Punjab
Ajnala	Amritsar	Punjab
Akalgarh	Ludhiana	Punjab
Alawalpur	Jalandhar	Punjab
Amloh	Fatehgarh Sahib	Punjab
Amritsar	Amritsar	Punjab
Amritsar Cantt.	Amritsar	Punjab
Anandpur Sahib	Rupnagar	Punjab
Badhni Kalan	Moga	Punjab
Bagha Purana	Moga	Punjab
Balachaur	Nawanshahr	Punjab
Banaur	Patiala	Punjab
Banga	Nawanshahr	Punjab
Baretta	Mansa	Punjab
Bariwala	Muktsar	Punjab
Barnala	Sangrur	Punjab
Bassi Pathana	Fatehgarh Sahib	Punjab
Batala	Gurdaspur	Punjab
Bathinda	Bathinda	Punjab
Begowal	Kapurthala	Punjab
Bhabat	Rupnagar	Punjab
Bhadaur	Sangrur	Punjab
Bhankharpur	Patiala	Punjab
Bharoli Kalan	Gurdaspur	Punjab
Bhawanigarh	Sangrur	Punjab
Bhikhi	Mansa	Punjab
Bhikhiwind	Amritsar	Punjab
Bhisiana	Bathinda	Punjab
Bhogpur	Jalandhar	Punjab
Bhucho Mandi	Bathinda	Punjab
Bhulath	Kapurthala	Punjab
Budha Theh	Amritsar	Punjab
Budhlada	Mansa	Punjab
Cheema	Sangrur	Punjab
Chohal	Hoshiarpur	Punjab
Daroha	Ludhiana	Punjab
Dasua	Hoshiarpur	Punjab
Daulatpur	Gurdaspur	Punjab
Dera Baba Nanak	Gurdaspur	Punjab
Dera Bassi	Patiala	Punjab
Dhanaula	Sangrur	Punjab
Dharamkot	Moga	Punjab
Dhariwal	Gurdaspur	Punjab
Dhilwan	Kapurthala	Punjab
Dhuri	Sangrur	Punjab
Dina Nagar	Gurdaspur	Punjab
Dirba	Sangrur	Punjab
Faridkot	Faridkot	Punjab
Fatehgarh Churian	Gurdaspur	Punjab
Fazilka	Firozpur	Punjab
Fiozpur	Firozpur	Punjab
Firozpur Cantt.	Firozpur	Punjab
Gardhiwala	Hoshiarpur	Punjab
Garhshanker	Hoshiarpur	Punjab
Ghagga	Patiala	Punjab
Ghanaur	Patiala	Punjab
Gidderbaha	Muktsar	Punjab
Gobindgarh	Fatehgarh Sahib	Punjab
Goniana	Bathinda	Punjab
Goraya	Jalandhar	Punjab
Gurdaspur	Gurdaspur	Punjab
Guru Har Sahai	Firozpur	Punjab
Hajipur	Hoshiarpur	Punjab
Handiaya	Sangrur	Punjab
Hariana	Hoshiarpur	Punjab
Hoshiarpur	Hoshiarpur	Punjab
